NAMELSAD,std_dev_all,std_dev_2,std_dev_3,std_dev_4,std_dev_5,std_dev_6,std_dev_7,std_dev_8,std_dev_9,std_dev_10,std_dev_11,std_dev_12,std_dev_13,std_dev_14,std_dev_15,avg_std_dev_2_to_4
"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",1.0051,0.895,0.8188,0.8232,0.8193,0.8451,0.8702,0.8902,0.904,0.9164,0.9282,0.9363,0.9433,0.9498,0.9555,0.8484
"Michigan City-La Porte, IN Metro Area",0.1639,0.1639,,,,,,,,,,,,,,
"Midland, MI Metro Area",,,,,,,,,,,,,,,,
"Midland, TX Metro Area",,,,,,,,,,,,,,,,
"Milwaukee-Waukesha, WI Metro Area",0.5526,0.8174,0.4544,0.4768,0.5526,,,,,,,,,,,0.5956
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",0.7613,0.021,0.1537,0.3392,0.4929,0.6091,0.696,0.7613,,,,,,,,0.162
"Missoula, MT Metro Area",,,,,,,,,,,,,,,,
"Mobile, AL Metro Area",0.0209,0.0209,,,,,,,,,,,,,,
"Modesto, CA Metro Area",0.6982,1.1151,1.2796,0.8099,0.6982,,,,,,,,,,,1.0734
"Monroe, LA Metro Area",0.4599,0.4027,0.4599,,,,,,,,,,,,,
"Monroe, MI Metro Area",,,,,,,,,,,,,,,,
"Montgomery, AL Metro Area",,,,,,,,,,,,,,,,
"Morgantown, WV Metro Area",,,,,,,,,,,,,,,,
"Morristown, TN Metro Area",,,,,,,,,,,,,,,,
"Mount Vernon-Anacortes, WA Metro Area",,,,,,,,,,,,,,,,
"Muncie, IN Metro Area",0.0839,0.0839,,,,,,,,,,,,,,
"Muskegon, MI Metro Area",,,,,,,,,,,,,,,,
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC Metro Area",0.3676,0.0655,0.1906,0.3676,,,,,,,,,,,,0.1991
"Napa, CA Metro Area",,,,,,,,,,,,,,,,
"Naples-Marco Island, FL Metro Area",0.5463,0.3217,0.3991,0.5463,,,,,,,,,,,,0.416
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",0.6653,1.6444,1.0564,0.7845,0.6682,0.6406,0.6242,0.6312,0.6465,0.6653,,,,,,1.1898
"New Bern, NC Metro Area",,,,,,,,,,,,,,,,
"New Haven-Milford, CT Metro Area",0.8385,0.5415,0.507,0.6106,0.6831,0.7477,0.7983,0.8385,,,,,,,,0.5518
"New Orleans-Metairie, LA Metro Area",0.5987,0.6131,0.4938,0.5264,0.5987,,,,,,,,,,,0.548
"New York-Newark-Jersey City, NY-NJ-PA Metro Area",1.0037,0.2043,0.278,0.4231,0.5536,0.6521,0.7282,0.7865,0.831,0.866,0.894,0.9167,0.9353,0.9507,0.9635,0.2956
"Niles, MI Metro Area",0.2723,0.2723,,,,,,,,,,,,,,
"North Port-Sarasota-Bradenton, FL Metro Area",0.3746,1.7559,0.3746,,,,,,,,,,,,,
"Norwich-New London, CT Metro Area",0.4084,0.4084,,,,,,,,,,,,,,
"Ocala, FL Metro Area",,,,,,,,,,,,,,,,
"Ocean City, NJ Metro Area",,,,,,,,,,,,,,,,
"Odessa, TX Metro Area",,,,,,,,,,,,,,,,
"Ogden-Clearfield, UT Metro Area",0.5786,1.7178,1.544,0.9109,0.6642,0.5786,,,,,,,,,,1.4124
"Oklahoma City, OK Metro Area",0.6618,1.7623,0.6987,0.5678,0.5066,0.5205,0.5525,0.5822,0.6096,0.6364,0.6618,,,,,1.0517
"Olympia-Lacey-Tumwater, WA Metro Area",,,,,,,,,,,,,,,,
"Omaha-Council Bluffs, NE-IA Metro Area",0.7876,0.239,0.3819,0.5496,0.6436,0.7239,0.7876,,,,,,,,,0.3809
"Orlando-Kissimmee-Sanford, FL Metro Area",0.8432,1.2745,0.8181,0.7193,0.6966,0.7081,0.7299,0.7556,0.7806,0.7982,0.8146,0.8298,0.8432,,,0.9564
"Oshkosh-Neenah, WI Metro Area",,,,,,,,,,,,,,,,
"Owensboro, KY Metro Area",,,,,,,,,,,,,,,,
"Oxnard-Thousand Oaks-Ventura, CA Metro Area",0.2211,0.0857,0.2211,,,,,,,,,,,,,
"Palm Bay-Melbourne-Titusville, FL Metro Area",0.7666,1.3843,1.4939,0.7666,,,,,,,,,,,,1.2284
"Panama City, FL Metro Area",1.0529,1.0274,0.9823,1.0529,,,,,,,,,,,,1.0208
"Parkersburg-Vienna, WV Metro Area",,,,,,,,,,,,,,,,
"Pensacola-Ferry Pass-Brent, FL Metro Area",0.0893,0.0893,,,,,,,,,,,,,,
"Peoria, IL Metro Area",0.5213,0.5125,0.4554,0.5213,,,,,,,,,,,,0.4969
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",0.8898,0.6125,0.4198,0.4719,0.5611,0.6422,0.7091,0.7624,0.805,0.8393,0.8671,0.8898,,,,0.5072
"Phoenix-Mesa-Chandler, AZ Metro Area",0.9853,0.9892,0.7547,0.7437,0.7414,0.7604,0.7835,0.8067,0.829,0.8492,0.8671,0.8817,0.8947,0.9061,0.9162,0.838
"Pine Bluff, AR Metro Area",,,,,,,,,,,,,,,,
"Pittsburgh, PA Metro Area",1.0284,0.1087,0.2245,0.39,0.532,0.6408,0.7225,0.7844,0.8319,0.869,0.8983,0.9218,0.9408,0.9565,0.9694,0.2329
"Pittsfield, MA Metro Area",,,,,,,,,,,,,,,,
"Pocatello, ID Metro Area",,,,,,,,,,,,,,,,
"Port St. Lucie, FL Metro Area",0.5049,0.3535,0.3951,0.5049,,,,,,,,,,,,0.4137
"Portland-South Portland, ME Metro Area",0.2116,0.2116,,,,,,,,,,,,,,
"Portland-Vancouver-Hillsboro, OR-WA Metro Area",0.8653,0.5981,0.5426,0.5663,0.6312,0.6978,0.7544,0.8002,0.8362,0.8653,,,,,,0.5705
"Poughkeepsie-Newburgh-Middletown, NY Metro Area",0.6755,1.818,1.9417,1.9668,1.2888,0.9074,0.6755,,,,,,,,,1.9037
"Prescott Valley-Prescott, AZ Metro Area",,,,,,,,,,,,,,,,
"Providence-Warwick, RI-MA Metro Area",0.7738,0.4561,0.6039,0.6402,0.6756,0.7265,0.7738,,,,,,,,,0.5604
"Provo-Orem, UT Metro Area",0.6789,0.6789,,,,,,,,,,,,,,
"Pueblo, CO Metro Area",0.5551,0.5798,0.4753,0.5551,,,,,,,,,,,,0.5386
"Punta Gorda, FL Metro Area",0.4493,0.4493,,,,,,,,,,,,,,
"Racine, WI Metro Area",,,,,,,,,,,,,,,,
"Raleigh-Cary, NC Metro Area",,,,,,,,,,,,,,,,
"Rapid City, SD Metro Area",,,,,,,,,,,,,,,,
"Reading, PA Metro Area",,,,,,,,,,,,,,,,
"Redding, CA Metro Area",,,,,,,,,,,,,,,,
"Reno, NV Metro Area",0.2601,0.1564,0.2601,,,,,,,,,,,,,
