NAMELSAD,beta_all,beta_top_2,beta_top_3,beta_top_4,beta_top_5,beta_top_6,beta_top_7,beta_top_8,beta_top_9,beta_top_10,beta_top_11,beta_top_12,beta_top_13,beta_top_14,beta_top_15,avg_beta_2_to_4,count_centers
"Los Angeles-Long Beach-Anaheim, CA Metro Area",-11.305348510469779,-0.8372342969013878,-1.232991238150718,-1.6436656214015066,-1.8437085750480604,-2.10655694903851,-2.316638356491641,-2.5579236622068158,-2.80886943137593,-3.0696592698025467,-3.3031387370508463,-3.505632772639526,-3.7144705463128442,-3.932728107311341,-4.13508048843207,-1.237963718817871,47
"Louisville/Jefferson County, KY-IN Metro Area",-0.9725679369775097,-0.7883143275594655,-0.6729133223278935,-0.8439386158387702,-0.9725679369775097,,,,,,,,,,,-0.7683887552420431,5
"Lubbock, TX Metro Area",-2.6188361145552674,-2.797571752649014,-2.0798630994890788,-2.618836114555261,,,,,,,,,,,,-2.4987569888977847,4
"Lynchburg, VA Metro Area",,,,,,,,,,,,,,,,,1
"Macon-Bibb County, GA Metro Area",,,,,,,,,,,,,,,,,1
"Madera, CA Metro Area",,,,,,,,,,,,,,,,,1
"Madison, WI Metro Area",,,,,,,,,,,,,,,,,1
"Manchester-Nashua, NH Metro Area",,,,,,,,,,,,,,,,,1
"Manhattan, KS Metro Area",,,,,,,,,,,,,,,,,1
"Mankato, MN Metro Area",,,,,,,,,,,,,,,,,1
"Mansfield, OH Metro Area",,,,,,,,,,,,,,,,,1
"McAllen-Edinburg-Mission, TX Metro Area",-0.4365375691450679,-0.32188403271379895,-0.4365375691450679,,,,,,,,,,,,,,3
"Medford, OR Metro Area",-1.6792990473845526,-1.6792990473845526,,,,,,,,,,,,,,,2
"Memphis, TN-MS-AR Metro Area",-1.0281147474700658,-2.6701873211380778,-0.5670817012675424,-0.7302985690783558,-0.8976599681120122,-1.0281147474700667,,,,,,,,,,-1.3225225304946586,6
"Merced, CA Metro Area",-2.0567405176220723,-1.9257529163904885,-1.920543860441207,-2.0567405176220745,,,,,,,,,,,,-1.9676790981512566,4
"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",-5.293449565590919,-1.840785021326025,-1.6419178778218422,-1.766129557567273,-2.041498935324613,-2.297759329684993,-2.2466120942166357,-2.3536931909731056,-2.532737736719743,-2.7114065927892255,-2.8918757051277297,-3.0683053681918375,-3.2576114042031277,-3.4555163600565493,-3.6574950286874857,-1.7496108189050468,23
"Michigan City-La Porte, IN Metro Area",,,,,,,,,,,,,,,,,1
"Midland, MI Metro Area",,,,,,,,,,,,,,,,,1
"Midland, TX Metro Area",,,,,,,,,,,,,,,,,1
"Milwaukee-Waukesha, WI Metro Area",-0.9790246647527547,-44.29691757026138,-1.1362205525890414,-0.8486592175182989,-0.8993018050281933,-0.9790246647527536,,,,,,,,,,-15.427265780122907,6
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",-1.5633031624655414,-0.7158819487028156,-0.9710986491479041,-1.2461177413359494,-1.1808501670446043,-1.3170760377820467,-1.4035154799086518,-1.50804873020761,-1.5633031624655427,,,,,,,-0.9776994463955564,9
"Missoula, MT Metro Area",,,,,,,,,,,,,,,,,1
"Mobile, AL Metro Area",-1.0020876824056062,-34.76076058862561,-0.6439603027926402,-0.8258028093155838,-1.002087682405605,,,,,,,,,,,-12.076841233577944,5
"Modesto, CA Metro Area",-1.4801480647647973,-1.506742765364013,-1.4801480647647973,,,,,,,,,,,,,,3
"Monroe, LA Metro Area",-0.9754971855324315,-2.3969918085066326,-0.9754971855324315,,,,,,,,,,,,,,3
"Monroe, MI Metro Area",,,,,,,,,,,,,,,,,1
"Montgomery, AL Metro Area",,,,,,,,,,,,,,,,,1
"Morgantown, WV Metro Area",,,,,,,,,,,,,,,,,1
"Morristown, TN Metro Area",,,,,,,,,,,,,,,,,1
"Mount Vernon-Anacortes, WA Metro Area",,,,,,,,,,,,,,,,,1
"Muncie, IN Metro Area",,,,,,,,,,,,,,,,,1
"Muskegon, MI Metro Area",,,,,,,,,,,,,,,,,1
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC Metro Area",-1.0151132683598212,-0.39531568624269253,-0.5925005477567993,-0.8042472433041011,-1.0151132683598207,,,,,,,,,,,-0.597354492434531,5
"Napa, CA Metro Area",,,,,,,,,,,,,,,,,1
