NAMELSAD,std_dev_all,std_dev_2,std_dev_3,std_dev_4,std_dev_5,std_dev_6,std_dev_7,std_dev_8,std_dev_9,std_dev_10,std_dev_11,std_dev_12,std_dev_13,std_dev_14,std_dev_15,avg_std_dev_2_to_4
"Salinas, CA Metro Area",,,,,,,,,,,,,,,,
"Salisbury, MD-DE Metro Area",,,,,,,,,,,,,,,,
"Salt Lake City, UT Metro Area",0.7175,0.6844,0.7175,,,,,,,,,,,,,
"San Angelo, TX Metro Area",,,,,,,,,,,,,,,,
"San Antonio-New Braunfels, TX Metro Area",0.6861,0.5801,0.5113,0.5457,0.6201,0.6861,,,,,,,,,,0.5474
"San Diego-Chula Vista-Carlsbad, CA Metro Area",0.956,0.6703,0.8414,0.9341,1.0113,1.0553,1.0084,0.9758,0.956,,,,,,,0.8068
"San Francisco-Oakland-Berkeley, CA Metro Area",0.0305,0.0305,,,,,,,,,,,,,,
"San Jose-Sunnyvale-Santa Clara, CA Metro Area",0.6573,1.4475,1.0011,0.6573,,,,,,,,,,,,1.0599
"Santa Cruz-Watsonville, CA Metro Area",0.8468,0.8468,,,,,,,,,,,,,,
"Santa Fe, NM Metro Area",0.1511,0.1511,,,,,,,,,,,,,,
"Santa Maria-Santa Barbara, CA Metro Area",0.7105,0.7105,,,,,,,,,,,,,,
"Santa Rosa-Petaluma, CA Metro Area",0.1335,0.1335,,,,,,,,,,,,,,
"Savannah, GA Metro Area",,,,,,,,,,,,,,,,
"Scranton--Wilkes-Barre, PA Metro Area",1.2737,1.0522,1.2737,,,,,,,,,,,,,
"Seattle-Tacoma-Bellevue, WA Metro Area",0.2014,0.0785,0.2014,,,,,,,,,,,,,
"Sebastian-Vero Beach, FL Metro Area",,,,,,,,,,,,,,,,
"Sebring-Avon Park, FL Metro Area",,,,,,,,,,,,,,,,
"Sheboygan, WI Metro Area",,,,,,,,,,,,,,,,
"Shreveport-Bossier City, LA Metro Area",,,,,,,,,,,,,,,,
"Sierra Vista-Douglas, AZ Metro Area",,,,,,,,,,,,,,,,
"Sioux City, IA-NE-SD Metro Area",,,,,,,,,,,,,,,,
"Sioux Falls, SD Metro Area",0.2086,0.2086,,,,,,,,,,,,,,
"South Bend-Mishawaka, IN-MI Metro Area",0.4962,0.2598,0.3539,0.4962,,,,,,,,,,,,0.3631
"Spartanburg, SC Metro Area",,,,,,,,,,,,,,,,
"Spokane-Spokane Valley, WA Metro Area",0.1105,0.1105,,,,,,,,,,,,,,
"Springfield, IL Metro Area",0.1457,0.1457,,,,,,,,,,,,,,
"Springfield, MA Metro Area",0.4333,0.4333,,,,,,,,,,,,,,
"Springfield, MO Metro Area",,,,,,,,,,,,,,,,
"Springfield, OH Metro Area",,,,,,,,,,,,,,,,
"St. Cloud, MN Metro Area",,,,,,,,,,,,,,,,
"St. George, UT Metro Area",1.0165,1.0165,,,,,,,,,,,,,,
"St. Joseph, MO-KS Metro Area",,,,,,,,,,,,,,,,
"St. Louis, MO-IL Metro Area",0.1963,0.0663,0.1963,,,,,,,,,,,,,
"State College, PA Metro Area",,,,,,,,,,,,,,,,
