NAMELSAD,beta_all,beta_top_2,beta_top_3,beta_top_4,beta_top_5,beta_top_6,beta_top_7,beta_top_8,beta_top_9,beta_top_10,beta_top_11,beta_top_12,beta_top_13,beta_top_14,beta_top_15,avg_beta_2_to_4
"New York-Newark-Jersey City, NY-NJ-PA Metro Area",-3.1807180099649526,-1.7629276657212303,-1.1612700841399077,-1.0589937137329137,-1.1984031883226516,-1.3606688095843966,-1.5111175449529861,-1.6716681607854307,-1.8290527924785585,-1.997465020098153,-2.1636768892265934,-2.2630927350834225,-2.3396058455082103,-2.445438640557982,-2.5447482687417056,-1.3277304878646838
"Niles, MI Metro Area",-0.5473262325249789,-0.5473262325249789,,,,,,,,,,,,,,
"North Port-Sarasota-Bradenton, FL Metro Area",-0.8547490539338061,-0.7214425456963036,-0.7003961130238112,-0.8547490539338056,,,,,,,,,,,,-0.7588625708846402
"Norwich-New London, CT Metro Area",,,,,,,,,,,,,,,,
"Ocala, FL Metro Area",,,,,,,,,,,,,,,,
"Odessa, TX Metro Area",,,,,,,,,,,,,,,,
"Ogden-Clearfield, UT Metro Area",-1.6273140222578903,-0.9056047579104036,-1.0727451890876967,-1.3461502549266213,-1.6273140222578972,,,,,,,,,,,-1.1081667339749073
"Oklahoma City, OK Metro Area",-0.9377386458845067,-1.9398652142905806,-0.667532938722752,-0.7856481822548579,-0.9377386458845055,,,,,,,,,,,-1.1310154450893968
"Olympia-Lacey-Tumwater, WA Metro Area",,,,,,,,,,,,,,,,
"Omaha-Council Bluffs, NE-IA Metro Area",-0.28138250400137643,-0.28138250400137643,,,,,,,,,,,,,,
"Orlando-Kissimmee-Sanford, FL Metro Area",-1.1170903066447713,-3.3757207439657524,-4.7148309128272095,-1.319796551751309,-1.1170903066447697,,,,,,,,,,,-3.1367827361814236
"Oshkosh-Neenah, WI Metro Area",,,,,,,,,,,,,,,,
"Owensboro, KY Metro Area",,,,,,,,,,,,,,,,
"Oxnard-Thousand Oaks-Ventura, CA Metro Area",,,,,,,,,,,,,,,,
"Palm Bay-Melbourne-Titusville, FL Metro Area",-1.180334951359808,-1.1262640460970834,-1.180334951359808,,,,,,,,,,,,,
"Parkersburg-Vienna, WV Metro Area",,,,,,,,,,,,,,,,
"Pensacola-Ferry Pass-Brent, FL Metro Area",,,,,,,,,,,,,,,,
"Peoria, IL Metro Area",,,,,,,,,,,,,,,,
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",-0.8767261012274997,-0.8767261012275018,,,,,,,,,,,,,,
"Phoenix-Mesa-Chandler, AZ Metro Area",-2.14311764031472,-1.4928817822834208,-1.5838394032620893,-1.9920671866751696,-2.276150608054567,-2.177546394932918,-2.2529991120530135,-1.9783606709786676,-2.0218132989015194,-2.1176327899626193,-2.143117640314718,,,,,-1.68959612407356
"Pine Bluff, AR Metro Area",,,,,,,,,,,,,,,,
"Pittsburgh, PA Metro Area",-1.39790771578444,-1.0502896345859805,-1.121417695227109,-1.256599037770254,-1.1187094711923582,-1.2093056618800915,-1.3174826465254816,-1.397907715784441,,,,,,,,-1.1427687891944478
"Pittsfield, MA Metro Area",,,,,,,,,,,,,,,,
"Pocatello, ID Metro Area",,,,,,,,,,,,,,,,
"Port St. Lucie, FL Metro Area",-0.5050736888515958,-0.5050736888515958,,,,,,,,,,,,,,
"Portland-South Portland, ME Metro Area",,,,,,,,,,,,,,,,
"Portland-Vancouver-Hillsboro, OR-WA Metro Area",-1.48466926370656,-0.8334076589274844,-0.8204936182032142,-0.9366803623633986,-1.1091859188220112,-1.2955551832307508,-1.4846692637065604,,,,,,,,,-0.863527213164699
"Poughkeepsie-Newburgh-Middletown, NY Metro Area",-5.980398986336533,-10.53206054155489,-5.9803989863365326,,,,,,,,,,,,,
"Prescott Valley-Prescott, AZ Metro Area",,,,,,,,,,,,,,,,
"Providence-Warwick, RI-MA Metro Area",-1.293515744022536,-1.6868684832333773,-2.4035787736119056,-2.032155420441648,-1.293515744022536,,,,,,,,,,,-2.0408675590956435
"Provo-Orem, UT Metro Area",,,,,,,,,,,,,,,,
